1	1	10
2	1	4
3	1	5600
4	1	5819
5	2	10
6	2	4
7	2	5600
8	2	5819
9	3	10
10	3	4
11	3	5601
12	4	11
13	4	5
14	4	5600
15	4	5816
16	4	5818
17	5	11
18	5	5
19	5	5600
20	5	5816
21	5	5818
22	6	11
23	6	5
24	6	5601
25	7	12
26	7	5600
27	7	5820
28	7	6
29	8	12
30	8	5601
31	8	6
32	9	12
33	9	5523
34	9	5528
35	9	5600
36	9	5820
37	9	6
38	10	13
39	10	5600
40	10	5814
41	10	7
42	11	13
43	11	4816
44	11	5601
45	11	7
46	12	13
47	12	5600
48	12	5814
49	12	7
50	13	14
51	13	15
52	13	16
53	13	17
54	13	18
55	13	19
56	13	5602
57	14	14
58	14	15
59	14	16
60	14	17
61	14	18
62	14	19
63	14	5602
64	15	2
65	15	4780
66	15	4782
67	15	4824
68	15	5342
69	16	2
70	16	4787
71	16	5563
72	17	2
73	17	4797
74	17	4821
75	17	4835
76	17	4836
77	18	2
78	18	5600
79	18	5815
80	18	8
81	19	2
82	19	5601
83	19	8
84	20	2
85	20	5106
86	20	5488
87	20	7
88	21	2
89	21	5130
90	21	5132
91	21	5524
92	22	2
93	22	5125
94	23	2
95	23	5140
96	23	5143
97	24	2
98	24	5599
99	25	2
100	25	5600
101	25	5815
102	25	8
103	26	3
104	26	4798
105	26	5346
106	26	5360
107	27	3
108	27	4785
109	27	4820
110	28	3
111	28	4814
112	28	4841
113	29	3
114	29	4
115	29	5050
116	29	5380
117	29	5396
118	29	5509
119	30	3
120	30	4806
121	30	5388
122	30	5535
123	31	3
124	31	4813
125	31	5359
126	31	5600
127	31	5817
128	31	9
129	32	3
130	32	5390
131	32	5409
132	32	5562
133	33	3
134	33	5599
135	34	3
136	34	5536
137	34	6146
138	35	3
139	35	5113
140	35	5491
141	36	3
142	36	5142
143	36	5144
144	36	5525
145	37	3
146	37	5129
147	37	5465
148	38	3
149	38	5141
150	38	5168
151	39	3
152	39	5153
153	39	5154
154	39	5155
155	39	5270
156	40	3
157	40	5229
158	41	3
159	41	5601
160	41	9
161	42	3
162	42	5600
163	42	5817
164	42	9
165	43	4
166	43	4795
167	43	4818
168	43	4832
169	43	5051
170	43	5343
171	43	5539
172	43	5540
173	44	4
174	44	4796
175	44	4834
176	44	5541
177	45	4
178	45	5352
179	45	5383
180	45	5402
181	45	5534
182	46	4
183	46	4805
184	46	5385
185	47	4
186	47	4810
187	47	5386
188	47	5405
189	48	4
190	48	5393
191	48	5414
192	49	4
193	49	5106
194	49	5432
195	49	5488
196	49	6
197	50	4
198	50	5136
199	50	5138
200	51	4
201	51	5116
202	51	5263
203	51	5439
204	51	5458
205	52	4
206	52	5526
207	53	4777
208	53	4778
209	53	4779
210	53	4823
211	53	4829
212	53	5341
213	53	5560
214	53	7
215	54	4781
216	54	4830
217	54	5538
218	54	6
219	55	4783
220	55	4784
221	55	4804
222	55	4808
223	55	5
224	56	4786
225	56	6
226	57	4788
227	57	4789
228	57	4822
229	57	5
230	57	5559
231	58	4790
232	58	4839
233	58	4843
234	58	6
235	59	4791
236	59	4837
237	59	4838
238	59	5543
239	59	7
240	60	4792
241	60	4793
242	60	4840
243	60	7
244	61	4800
245	62	4803
246	62	4809
247	62	5
248	63	4807
249	63	4842
250	63	4844
251	63	5391
252	63	7
253	64	4811
254	64	5
255	65	4812
256	65	4819
257	65	5
258	65	5542
259	65	6145
260	66	4815
261	66	4845
262	66	5
263	66	5054
264	66	5564
265	67	4828
266	67	5
267	67	5380
268	67	5396
269	67	5498
270	67	5509
271	67	5516
272	68	4831
273	68	5351
274	68	6
275	69	4846
276	69	5055
277	69	6
278	70	5
279	70	5383
280	70	5402
281	70	5534
282	71	5
283	71	5133
284	72	5
285	72	5115
286	72	5145
287	73	5
288	73	5128
289	74	5
290	74	5131
291	75	5
292	75	5272
293	76	5
294	76	5152
295	76	5156
296	76	5157
297	77	5
298	77	5231
299	77	5527
300	78	5107
301	78	5110
302	78	5433
303	78	6
304	79	5107
305	79	5110
306	79	5124
307	79	5433
308	79	7
309	80	5111
310	80	7
311	81	5114
312	81	5137
313	81	6
314	82	5118
315	82	6199
316	83	5121
317	84	5134
318	84	5135
319	84	5139
320	84	7
321	85	5158
322	86	5228
323	86	5518
324	86	6
325	87	5268
326	87	5269
327	87	5519
328	87	7
329	88	5271
330	88	6
331	89	5273
332	90	5350
333	90	5545
334	90	5546
335	90	6209
336	91	5395
337	91	5537
338	91	5547
339	92	6147
340	92	6148
341	93	6152
342	7010	7010
343	5267	5267
344	5513	5513
345	5230	5230
346	7008	7008
347	5514	5514
348	7011	7011
349	7012	7012
350	7029	7029
351	7030	7030
352	7031	7031
